PARCEL,WATERID,LATERAL,SIDEGATE,SERVAREA,ISPEC,IRRIGTYPE,NAME1,PHONE1,RQSTFLO,HOURS,CROP1,EVENT_TRANDATE,TRANTIME,COMMENT1,COMMENT2,EXCESSIVEORDER,LASTIRRIGATION,DELETED,FLOWID
 069018007,679402,CERES,10-07,01,WRQST,01,BYRON,636-3669,7.3,1,32,2023-06-06,15131929,DAWN,,N,N,,
 018044009,679406,CERES,10-07,01,WRQST,01,ROBERT,784-6246,14.93,3,29,2023-06-06,15265445,NATY,,N,N,,
 041038028,679425,LL2.5,03-03,05,WRQST,01,SERGIO,119-1169,16.7,14,29,2023-06-06,15423544,NEW,,N,N,,
 069023034,679428,CERES,10-07,01,WRQST,01,GLENNA,506-9687,7.25,1.5,9,2023-06-06,15452916,,5383918,Y,N,,
 069023035,679429,CERES,10-07,01,WRQST,01,GLENNA,127-5204,7.2,1.5,9,2023-06-06,15453722,HM,,Y,N,,
 017038012,679436,L1,13-01,03,WRQST,01,JEFF,876-5566,17.61,13,29,2023-06-06,15582263,WILLIE,,,N,,
 017043013,679437,L1,13-01,03,WRQST,01,JEFF,656-0350,17.81,3,29,2023-06-06,15582909,WILLIE,,,N,,
 017038011,679438,L1,13-01,03,WRQST,01,JEFF,942-7285,20.15,13,29,2023-06-06,15583659,DAVID,,,N,,
 017038001,679444,L1,13-01,03,WRQST,01,DAVID,679-9407,18.84,13,29,2023-06-06,16011694,ALT#6131678,,,N,,
 022010001,679454,LL3,06-04,05,WRQST,01,ANDY,264-5683,19.21,3,1,2023-06-06,16051545,,,N,N,,
 017063021,679458,LL2.5,16-02,05,WRQST,01,GREG,663-2784,18.59,14,1,2023-06-06,16355976,&,,N,N,,
 018055004,679551,CERES,04-02,01,WRQST,01,MIKE,564-8114,15.95,3.5,29,2023-06-07,6410284,,,,N,,
 017066004,679553,LL2,23-03,03,WRQST,01,LEE,733-2629,15.21,6,29,2023-06-07,7031133,KATHI,,N,N,,
 017066004,679554,LL2,23-04,03,WRQST,01,LEE,852-9187,18.36,14,29,2023-06-07,7031134,KATHI,,N,N,,
 017058036,679568,LL2,14-04,03,WRQST,01,TONY,490-0069,16.66,7,17,2023-06-07,7153941,,5382130,N,N,,
 017058053,679569,LL2,16-03,03,WRQST,01,TONY,132-6206,19.53,8,17,2023-06-07,7161486,HM,,N,N,,
 017058052,679570,LL2,16-03,03,WRQST,01,TONY,781-1232,18.81,8,17,2023-06-07,7170039,HM,,N,N,,
 017058045,679571,LL2,14-04,03,WRQST,01,TONY,497-3735,16.2,14,17,2023-06-07,7174848,,5382130,N,N,,
 017058044,679572,LL2,14-04,03,WRQST,01,TONY,716-2233,16.83,8,17,2023-06-07,7175198,JUAN,,N,N,,
 018047022,679596,CERES,08-02,01,WRQST,01,ROBERT,799-0810,13.95,1,29,2023-06-07,7283015,MELODY,,,N,,
 019007002,679623,CERES,01-02,01,WRQST,01,TOM,942-7003,5.55,6,29,2023-06-07,7405939,JORDAN,,N,N,,
 019007004,679624,CERES,01-02,01,WRQST,01,TOM,448-5149,5.55,6,29,2023-06-07,7410872,JORDAN,,N,N,,
 041027026,679627,LL2.5,11-03,05,WRQST,01,ED,237-9169,21.48,1.25,29,2023-06-07,7472449,ALLEN,,N,N,,
 041027011,679628,LL2.5,11-03,05,WRQST,01,ED,970-7519,25.09,1.75,29,2023-06-07,7473519,ALLEN,,N,N,,
 041027008,679629,LL2.5,11-03,05,WRQST,01,ED,721-7794,25.8,1.5,29,2023-06-07,7474771,ALLEN,,N,N,,
 041015003,679640,LL2,02-02,03,WRQST,01,OSCAR,814-1834,1,8,9,2023-06-07,7570258,OLIVIA,,N,N,,
 018016040,679643,CERES,09-07,01,WRQST,01,DAVID,737-0824,13.33,10,39,2023-06-07,8025347,HM,,,N,,
 018047018,679644,CERES,08-02,01,WRQST,01,DAVID,694-6640,14.44,7,39,2023-06-07,8033813,CARLOS,,,N,,
 018054025,679694,CERES,05-03,01,WRQST,01,FERNANDO,332-5980,7.28,2,29,2023-06-07,9122825,,,N,N,,
 041016002,679767,LL2,01-02,03,WRQST,01,THEPPHARACK,545-0130,3,3,12,2023-06-07,10203439,,,N,N,,
 018065027,679788,CERES,09-04,01,WRQST,01,SCOTT,921-4723,15.19,1,29,2023-06-07,10494010,MICHAEL,,,N,,
 018065019,679789,CERES,09-04,01,WRQST,01,SCOTT,641-5833,15.31,5,29,2023-06-07,10495493,ROGER,,,N,,
 022002044,679834,LL3,14-03,05,WRQST,01,JOE,720-6365,20.73,5,9,2023-06-07,11135346,HM,,N,N,,
 022002048,679843,LL3,14-03,05,WRQST,01,MAHENDAR,535-7812,19.62,6,29,2023-06-07,11242212,**REQUESTING,,N,N,,
 041009010,679856,LL2,04-01,03,WRQST,01,PEDRO,841-9480,24.65,7,29,2023-06-07,11440681,*NEW,,N,N,,
 018004006,679886,CERES,06-03,01,WRQST,01,RAZO,879-4434,11.79,9,39,2023-06-07,12170401,RODNEY,,,N,,
 041046007,679938,LL2.5,09-04,05,WRQST,01,JUNIOR,668-0459,22.73,3,3,2023-06-07,13445691,HM,,N,N,,
 018045032,679955,CERES,10-02,01,WRQST,01,BRUCE,808-1120,14.95,3.5,29,2023-06-07,14123025,RHONDA,,N,N,,
 018045039,679956,CERES,10-02,01,WRQST,01,BRUCE,872-9552,14.81,3.5,29,2023-06-07,14124800,RHONDA,,N,N,,
 018044032,679961,CERES,10-07,01,WRQST,01,DAVID,559-9296,14.92,15,39,2023-06-07,14201333,CARLOS,,,N,,
 017051003,680025,L1,20-04,03,WRQST,01,JIM,646-1747,20.97,7,29,2023-06-07,16133145,,,Y,N,,
 017051021,680050,LL2,17-03,03,WRQST,01,FRED,590-0433,24.6,8,29,2023-06-07,17340527,ANGELA,,,N,,
 018050021,680057,CERES,05-03,01,WRQST,01,RUBEN,513-7891,10.34,0.75,38,2023-06-07,17541620,DULCE,,,N,,
 018050022,680058,CERES,05-03,01,WRQST,01,RUBEN,789-4517,10.45,1,9,2023-06-07,17570633,DULCE,,,N,,
 018044029,680110,CERES,10-07,01,WRQST,01,LETICIA,975-5590,7.35,0.5,28,2023-06-07,19465839,,9882469,,N,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
 017069005,678439,LL2,23-03,03,WRQST,03,CHRIS,477-7155,2,48,29,2023-06-05,7555913,ERIC,,,N,,
 017069004,678437,LL2,22-03,03,WRQST,03,CHRIS,351-0847,1,48,29,2023-06-05,7554369,ERIC,,,N,,
 017066005,676865,LL2,23-04,03,WRQST,03,CHRIS,404-9491,3.7,24,32,2023-06-02,9070399,ERIC,,,N,,
 017063027,678580,LL2.5,18-03,05,WRQST,03,ANDY,639-7749,1.51,25,29,2023-06-05,10051076,,,N,N,,
 017062030,677729,LL2.5,24-04.2,05,WRQST,03,JOE,281-9259,2.12,10,29,2023-06-03,22561424,KEATON,,,N,,
 017060034,676794,LL2,25-03,03,WRQST,03,RON,603-9112,1.6,18,29,2023-06-02,7405341,ADAM,,,N,,
 017060034,678590,LL2,25-03,03,WRQST,03,RON,497-2279,1.6,18,29,2023-06-05,10185360,ADAM,,,N,,
 017060025,679328,LL2,20-02,03,WRQST,02,DANIEL,785-4858,3.66,24,29,2023-06-06,13021294,,5383915,N,N,,
 017060024,678834,LL2,19-05.3,03,WRQST,03,PETE,604-7173,2.15,24,29,2023-06-05,15465932,NICK,,N,N,,
 017060021,678835,LL2,19-05.1,03,WRQST,03,PETE,431-9331,1.7,48,29,2023-06-05,15470739,NICK,,N,N,,
 017060008,676775,LL2,22-0.1,03,WRQST,03,TIM,642-3455,1.54,90,29,2023-06-02,7255606,,,N,N,,
 017060004,678591,LL2,24-02,03,WRQST,02,RON,346-5694,1.63,20,29,2023-06-05,10191624,,,,N,,
 017059011,678837,LL2,19-05.1,03,WRQST,03,PETE,207-3463,1.85,24,29,2023-06-05,15471855,NICK,,N,N,,
 017059008,678838,LL2,19-05.3,03,WRQST,03,PETE,891-1428,3.07,36,29,2023-06-05,15473333,HM,,N,N,,
 017053013,678072,LL2.5,17-02,05,WRQST,03,JOSE,949-7536,1.51,96,29,2023-06-04,14080525,SERGIO,,N,N,,
 017052017,678104,LL2,11-1.5,03,WRQST,03,FRANK,251-2463,4.17,40,29,2023-06-04,15594932,,5318702,N,N,,
 017052015,677091,LL2,14-02,03,WRQST,03,NICK,460-9271,1.49,48,29,2023-06-02,13462635,RON,,N,N,,
 017051069,678257,LL2,15-00.7,03,WRQST,03,JEFF,272-1264,2.1,60,29,2023-06-05,6132222,BUB,,,N,,
 017051057,679690,LL2,16-0.5,03,WRQST,03,MIGUEL,591-0320,2.4,24,29,2023-06-07,8575173,HM,,,N,,
 017051056,679689,LL2,16-0.5,03,WRQST,03,MIGUEL,704-0225,1.97,24,29,2023-06-07,8573784,HM,,,N,,
 017049011,676774,LL2,22-0.1,03,WRQST,03,TIM,195-8839,2.1,140,29,2023-06-02,7254154,,,N,N,,
 017042003,678820,L1,13-02,03,WRQST,03,LANE,275-0008,5.23,96,29,2023-06-05,15251939,JAVIER,,,N,,
 018006004,679143,CERES,05-01.5,01,WRQST,03,JOSE,692-7801,1.07,48,39,2023-06-06,8153755,,8834491,,N,,
 018006005,679969,CERES,04-05,01,WRQST,03,VITO,221-5090,0.82,72,39,2023-06-07,14511389,HM,,,N,,
 018006009,676786,CERES,04-04.4,01,WRQST,03,RAZO,768-6447,0.92,96,39,2023-06-02,7325510,OFFC,,,N,,
 018008001,676788,CERES,04-04.4,01,WRQST,03,RAZO,726-9336,0.84,48,39,2023-06-02,7331449,RAMON,,,N,,
 018008003,678134,CERES,04-00.4,01,WRQST,03,DOUG,444-6087,2.49,24,29,2023-06-04,16273303,,,,N,,
 018009004,678825,CERES,04-04,01,WRQST,03,EVAN,681-7310,1.6,48,29,2023-06-05,15332833,HM,,,N,,
 018009011,679144,CERES,05-01.5,01,WRQST,03,JOSE,792-8790,1.56,24,39,2023-06-06,8160821,OFFC,,,N,,
 018009017,678754,CERES,04-09,01,WRQST,03,EVAN,212-1822,2.23,12,29,2023-06-05,13313448,BEN,,,N,,
 018009019,678755,CERES,04-09,01,WRQST,03,EVAN,245-1723,2.23,12,29,2023-06-05,13321421,BEN,,,N,,
 018010001,676893,CERES,04-02,01,WRQST,03,EVAN,837-3896,2,24,29,2023-06-02,9485257,BEN,,,N,,
 018010007,676887,CERES,04-02,01,WRQST,03,EVAN,877-8290,2,24,29,2023-06-02,9451778,BEN,,,N,,
 018010008,676891,CERES,04-02,01,WRQST,03,EVAN,419-1260,2,24,29,2023-06-02,9474412,BEN,,,N,,
 018010018,678796,CERES,04-02,01,WRQST,02,RALPH,293-8661,1.4,24,29,2023-06-05,14233104,,,N,N,,
 018015031,679932,CERES,10-01.8,01,WRQST,03,KYLE,960-4625,4,85,7,2023-06-07,12584474,NEW,,Y,N,,
 018016005,679330,CERES,09-03,01,WRQST,03,DAN,967-8627,1.68,24,29,2023-06-06,13123929,,,N,N,,
 018024005,679145,CERES,05-03,01,WRQST,03,JOSE,977-6654,0.54,48,39,2023-06-06,8162798,,8834491,,N,,
 018026005,678747,CERES,05-03,01,WRQST,03,EVAN,138-0776,0.34,24,29,2023-06-05,13294849,BEN,,,N,,
 018052033,678797,CERES,05-03,01,WRQST,03,RALPH,526-8099,2.49,0.5,29,2023-06-05,14235691,,,N,N,,
 018062002,678764,CERES,12-0.05,01,WRQST,03,LABAN,952-6922,1,24,29,2023-06-05,13550924,DARRELL,,N,N,,
 019003001,678305,CERES,03-02,01,WRQST,03,KEVIN,961-2830,0.83,4,29,2023-06-05,6484056,REVEL,,,N,,
 019004017,679988,CERES,02-01.5,01,WRQST,03,VITO,223-3092,1.31,1,29,2023-06-07,15230346,,,N,N,,
 019004018,679970,CERES,02-01.5,01,WRQST,03,VITO,231-1432,1.34,47,39,2023-06-07,14513628,HM,,,N,,
 019007009,679971,CERES,01-01.5,01,WRQST,03,VITO,734-7471,0.93,24,29,2023-06-07,14520779,HOME,,,N,,
 041001008,678098,LL2,10-05,03,WRQST,03,HENRY,130-5866,1.56,30,29,2023-06-04,15271149,DAVID,,N,N,,
 041002011,678434,LL2,09-02.5,03,WRQST,03,DARRELL,438-9053,1.57,18,29,2023-06-05,7551167,,5560759,,N,,
 041002012,678435,LL2,09-02.5,03,WRQST,03,DARRELL,424-3381,1.57,18,29,2023-06-05,7552534,HM,,,N,,
 041002015,678099,LL2,11-02.7,03,WRQST,03,HENRY,509-7859,1.71,72,29,2023-06-04,15272499,,6133678,N,N,,
 041002018,678440,LL2,11-01.1,03,WRQST,03,DARRELL,921-5657,1.1,36,29,2023-06-05,7561056,HM,,,N,,
 041002023,678444,LL2,09-02.5,03,WRQST,03,DARRELL,631-0337,1.57,4,29,2023-06-05,7573051,,,,N,,
 041002025,678438,LL2,09-02.5,03,WRQST,03,DARRELL,293-1193,1.57,20,29,2023-06-05,7554585,,,,N,,
 041003024,678100,LL2,08-02,03,WRQST,03,HENRY,812-3277,3.66,72,29,2023-06-04,15273638,DAVID,,N,N,,
 041007007,676993,LL2,05-0.3,03,WRQST,03,BOB,235-9141,3.08,24,29,2023-06-02,12080041,GARY,,,N,,
 041011007,678495,LL2,02-0.5,03,WRQST,03,DARRELL,614-0782,0.39,9.25,29,2023-06-05,8394616,,5374210,N,N,Y,
 041011010,678496,LL2,02-0.5,03,WRQST,03,DARRELL,240-4956,0.39,10.25,29,2023-06-05,8394743,,5374210,N,N,,
 041014007,678501,LL2,02-0.5,03,WRQST,03,DARRELL,344-8664,0.64,8.25,29,2023-06-05,8403296,HM,,N,N,,
 041014011,678502,LL2,02-0.5,03,WRQST,03,DARRELL,170-2816,0.64,3.5,29,2023-06-05,8403412,HM,,N,N,,
 041014012,678503,LL2,02-0.5,03,WRQST,03,DARRELL,200-9531,0.64,5,29,2023-06-05,8403518,HM,,N,N,,
 041014024,678504,LL2,02-0.5,03,WRQST,03,DARRELL,209-9331,0.64,7.25,29,2023-06-05,8403653,HM,,N,N,,
 041016006,678491,LL2,01-0.5,03,WRQST,03,DARRELL,478-1813,1.46,24,29,2023-06-05,8384084,,5374210,N,N,,
 041017006,678492,LL2,01-0.5,03,WRQST,03,DARRELL,500-9533,1.26,24,29,2023-06-05,8384878,BILL,,N,N,,
 041024014,678443,LL2.5,14-0.8,05,WRQST,03,DARRELL,298-1405,1.08,60,29,2023-06-05,7572071,HM,,,N,,
 041025002,678106,LL2.5,15-04,05,WRQST,03,FRANK,821-4788,2.14,48,29,2023-06-04,16003438,,,N,N,,
 041026010,678449,LL2.5,11-05,05,WRQST,03,DARRELL,588-7417,1.5,36,29,2023-06-05,7580451,HM,,,N,,
 041026011,678452,LL2.5,11-05,05,WRQST,03,DARRELL,220-4355,1.5,36,29,2023-06-05,7581864,,5560759,,N,,
 041026012,678441,LL2.5,12-0.4,05,WRQST,03,DARRELL,421-0231,0.89,60,29,2023-06-05,7565831,,5560759,,N,,
 041026013,678822,LL2.5,12-05,05,WRQST,03,LANE,790-6758,0.86,48,29,2023-06-05,15260695,JAVIER,,,N,,
 041028005,676994,LL2,05-0.3,03,WRQST,03,BOB,186-3937,3.33,12,29,2023-06-02,12081161,GARY,,,N,,
 041028010,676995,LL2,05-0.3,03,WRQST,03,BOB,603-3694,3.01,12,29,2023-06-02,12082243,GARY,,,N,,
 041030006,677719,LL2.5,08-03,05,WRQST,03,ALLEN,582-6852,0.84,30,29,2023-06-03,19591611,CARLOS,,,N,,
 041030020,677720,LL2.5,09-02,05,WRQST,03,ALLEN,878-5436,1.24,50,29,2023-06-03,19592119,LUIS,,,N,,
 041033002,678277,LL2.5,08-01,05,WRQST,03,BLAKE,544-4621,1.1,36,29,2023-06-05,6321517,WENDELL,,,N,,
 041033003,676996,LL2.5,06-02,05,WRQST,03,BOB,974-5870,3.47,12,29,2023-06-02,12082830,OFC,,,N,,
 041033004,676997,LL2.5,06-02,05,WRQST,03,BOB,862-1437,4.17,12,29,2023-06-02,12083662,GARY,,,N,,
 041033010,676765,LL2.5,T1370,05,WRQST,02,GARY,197-6993,1.74,12,29,2023-06-02,7043792,HM,,N,N,,
 041037002,678493,LL2,01-0.5,03,WRQST,03,DARRELL,593-8352,1.2,24,29,2023-06-05,8385607,BILL,,N,N,,
 041037004,678494,LL2,01-0.5,03,WRQST,03,DARRYL,581-0220,0.89,24,29,2023-06-05,8390479,,,N,N,,
 041038014,678615,LL2.5,03-0.8,05,WRQST,03,SARB,170-5281,2,14,29,2023-06-05,11010791,SERGIO,,N,N,,
 041042003,678105,LL2.5,15-04,05,WRQST,03,FRANK,849-5824,2.11,24,29,2023-06-04,16000085,,5310202,N,N,,
 041042008,679179,LL2.5,15-03,05,WRQST,03,ERIC,497-7457,2.49,12,29,2023-06-06,10092776,JOHN,,,N,,
 041042012,679178,LL2.5,15-03,05,WRQST,02,ERIC,125-6880,2.49,12,39,2023-06-06,10085255,BILL,,,N,,
 041043001,679177,LL2.5,15-03,05,WRQST,02,ERIC,973-9086,2.58,24,39,2023-06-06,10075928,BILL,,,N,,
 041048005,678223,LL3,07-08,05,WRQST,03,JUSTIN,344-3100,1.38,40,29,2023-06-04,19570459,,6670432,,N,,
 041048005,678224,LL3,07-08,05,WRQST,03,JUSTIN,605-6703,1.38,40,29,2023-06-04,19571052,,6670432,,N,,
 041048006,678225,LL3,07-08,05,WRQST,03,JUSTIN,308-3181,0.59,16,29,2023-06-04,19572256,HM,,,N,,
 041048008,678349,LL3,07-02.5,05,WRQST,03,RICH,195-1570,1.83,36,29,2023-06-05,7105377,JUAN,,N,N,,
 041052002,677198,LL3,02-01,05,WRQST,03,RALPH,641-2266,1.45,24,29,2023-06-02,16121632,MOB,,N,N,,
 041052016,678300,LL3,01-03,05,WRQST,02,ROBERT,655-1550,5.72,96,29,2023-06-05,6473925,DON,,,N,,
 018002087,679973,CERES,08-04,01,WRQST,02,VITO,525-3080,1.5,24,39,2023-06-07,14523732,ANDREW,,,N,,
 017051071,678839,LL2,17-04.2,03,WRQST,03,PETE,786-1818,1.09,24,39,2023-06-05,15474130,NICK,,N,N,,
 041011017,678497,LL2,02-0.5,03,WRQST,03,DARRELL,827-4166,0.39,4.5,29,2023-06-05,8394851,HM,,N,N,,
 017051072,678489,LL2,18-02.7,03,WRQST,03,RICK,657-8260,5,20,29,2023-06-05,8331449,OFC,,N,N,,
 018006012,678383,CERES,04-10,01,WRQST,03,RAZO,542-1407,0.87,96,39,2023-06-05,7191793,RAMON,,,N,,
 018052044,678798,CERES,05-03,01,WRQST,03,RALPH,622-4984,2.49,3.5,29,2023-06-05,14240061,WANTS,,N,N,,
 018052045,678799,CERES,05-03,01,WRQST,03,RALPH,739-5906,2.49,10,29,2023-06-05,14240384,WANTS,,N,N,,
 018052046,678800,CERES,05-03,01,WRQST,03,RALPH,185-7024,2.49,10,29,2023-06-05,14240666,*WANTS,,N,N,,
 022002064,679224,LL3,15-01.8,05,WRQST,03,BILL,500-8517,1.79,40,29,2023-06-06,11015769,HM,,N,N,,
 022002065,679227,LL3,15-01.8,05,WRQST,03,BILL,469-5649,2.1,40,29,2023-06-06,11021462,,,N,N,,
 018010029,676892,CERES,04-02,01,WRQST,03,EVAN,749-2010,2,24,29,2023-06-02,9482472,BEN,,,N,,
 018052047,678705,CERES,05-03,01,WRQST,03,MIKE,579-6419,0.81,24,29,2023-06-05,12375302,,,N,N,,
 018010030,676888,CERES,04-02,01,WRQST,03,EVAN,570-4771,3,24,29,2023-06-02,9455599,BEN,,,N,,
